algo,n,nTrials,trial,elapsed_ns,comparisons,allocations,max_depth,notes
mergesort,256,3,1,6656744806541,2168,1,4,cutoff=16
mergesort,256,3,2,6656744969625,2120,1,4,cutoff=16
mergesort,256,3,3,6656745103250,2180,1,4,cutoff=16
mergesort,512,3,1,6656745323000,4789,1,5,cutoff=16
mergesort,512,3,2,6656745514375,4823,1,5,cutoff=16
mergesort,512,3,3,6656745684583,4852,1,5,cutoff=16
mergesort,1024,3,1,6656745962666,10585,1,6,cutoff=16
mergesort,1024,3,2,6656746144375,10825,1,6,cutoff=16
mergesort,1024,3,3,6656746263083,10729,1,6,cutoff=16
mergesort,2048,3,1,6656746466791,23363,1,7,cutoff=16
mergesort,2048,3,2,6656746658000,23539,1,7,cutoff=16
mergesort,2048,3,3,6656746844416,23518,1,7,cutoff=16
mergesort,4096,3,1,6656747182458,51141,1,8,cutoff=16
mergesort,4096,3,2,6656747525583,51202,1,8,cutoff=16
mergesort,4096,3,3,6656747875041,50961,1,8,cutoff=16
